省份名称,面积排名,面积/万平方千米,人口数量排名,人口数量（万人）,GDP排名,GDP金额（亿元）,人均GDP排名,人均GDP（元）,人口密度（人/平方千米）
新疆维吾尔自治区,1,166,24,1905,25,3305,14,16164,11.47590361
西藏自治区?,2,122.8,31,267,31,326,26,11567,2.174267101
内蒙古自治区,3,118.3,23,2379,16,6140,8,25558,20.10989011
青海省,4,72.23,30,529,30,706,22,12809,7.323826665
四川省,5,48.14,3,8673,9,9657,25,11708,180.1620274
黑龙江省,6,45.48,16,3813,14,7081,12,18463,83.83905013
甘肃省,7,45.44,22,2593,27,2494,29,9527,57.06426056
云南省,8,38.33,12,4333,23,4260,30,9459,113.0446126
广西壮族自治区,9,23.6,10,4822,18,5386,27,11417,204.3220339
湖南省,10,21.18,7,6629,13,8366,20,13123,312.9839471
陕西省,11,20.56,17,3674,21,4806,21,12843,178.6964981
河北省,12,18.77,6,6735,6,13387,11,19363,358.8172616
吉林省,13,18.74,21,2699,22,4693,13,17211,144.0234792
湖北省,14,18.59,9,5988,11,8451,17,14733,322.1086606
广东省,15,18,4,7859,1,29863,6,32142,436.6111111
贵州省,16,17.6,15,3837,26,2543,31,6742,218.0113636
江西省,17,16.7,13,4222,19,5323,24,12204,252.8143713
河南省,18,16.7,1,9613,5,14234,16,15056,575.6287425
山西省,19,15.63,19,3294,17,5465,15,16143,210.7485605
山东省,20,15.38,2,9082,2,25326,7,27148,590.5071521
辽宁省,21,14.59,14,4203,8,10418,9,24645,288.0740233
安徽省,22,13.97,8,6338,15,6906,28,11180,453.686471
福建省,23,12.13,18,3466,12,8440,10,23663,285.7378401
江苏省,24,10.26,5,7381,3,24738,5,32985,719.3957115
浙江省,25,10.2,11,4647,4,17633,4,35730,455.5882353
重庆市,26,8.23,20,3107,24,3938,18,14011,377.5212637
宁夏回族自治区,27,6.64,29,572,29,769,23,12695,86.14457831
台湾省,28,3.6,,,,,,,0
海南省,29,3.4,28,803,28,1121,19,13361,236.1764706
北京市,30,1.68,26,1423,10,8879,2,57431,847.0238095
天津市,31,1.13,27,1007,20,5014,3,47972,891.1504425
上海市,32,0.63,25,1625,7,11658,1,65473,2579.365079
香港特别行政区,33,0.1101,,,,,,,0
澳门特别行政区,34,0.00254,,,,,,,0
