序号,大类,小类,名称,是否常用
1,1,110,三角点,0
2,1,120,土堆上的三角点,0
3,1,130,小三角点,0
4,1,140,土堆上的小三角点,0
5,1,150,导线点,0
6,1,160,土堆上的导线点,0
7,1,170,埋石图根点,0
8,1,180,不埋石图根点,0
9,1,210,水准点,0
10,1,300,GPS控制点,0
11,1,410,天文点,0
12,2,110,一般房屋,1
13,2,120,简单房屋,0
14,2,130,建筑中的房屋,0
15,2,140,破坏房屋,0
16,2,150,棚房,0
17,2,160,架空房屋,0
18,2,180,依比例尺地面上的窑洞,0
19,2,181,地面上的窑洞,0
20,2,182,房屋式地面上的窑洞,0
21,2,190,依比例尺地面下的窑洞,0
22,2,191,不依比例尺地面下的窑洞,0
23,2,240,蒙古包,0
24,2,360,不依比例尺门墩,0
25,2,370,门顶,0
26,2,382,不依比例尺支柱及墩,0
27,2,430,依比例尺左围墙,0
28,2,431,依比例尺中围墙,0
29,2,432,不依比例尺围墙,0
30,2,450,栅栏,0
31,2,460,篱笆,0
32,2,470,活树篱笆,0
33,2,480,铁丝网,0
34,3,110,钻孔,0
35,3,120,探井,0
36,3,141,开采的竖井井口,0
37,3,142,开采的斜井井口,0
38,3,143,开采的平峒井口,0
39,3,144,开采的小矿井井口,0
40,3,151,废弃的竖井井口,1
41,3,152,废弃的斜井井口,0
42,3,153,废弃的平峒井口,0
43,3,154,废弃的小矿井井口,0
44,3,160,盐井,0
45,3,170,石油井或天然气井,0
46,3,210,起重机,0
47,3,262,水塔,0
48,3,263,水塔烟囱,0
49,3,271,烟囱,1
50,3,290,露天设备,0
51,3,311,依比例尺粮仓,0
52,3,312,不依比例尺粮仓,0
53,3,320,风车,0
54,3,330,水磨房及水车,0
55,3,340,水轮泵及抽水机站,0
56,3,350,打谷场,0
57,3,360,饲养场,0
58,3,371,温室,0
59,3,372,菜窖,0
60,3,373,花房,0
61,3,381,低于地面的贮水池,0
62,3,382,高于地面的贮水池,0
63,3,392,不依比例尺肥气池,0
64,3,410,气象站,0
65,3,421,雷达站,0
66,3,430,环保检测站,0
67,3,440,水文站,0
68,3,490,游泳池,0
69,3,510,加油站,0
70,3,521,路灯,0
71,3,522,杆式照射灯,0
72,3,524,塔式照射灯,0
73,3,530,喷水池,0
74,3,540,假石山,0
75,3,551,厕所,0
76,3,552,垃圾台,0
77,3,560,岗亭及岗楼,0
78,3,571,依比例尺的无线电杆,0
79,3,572,不依比例尺的无线电杆,0
80,3,580,电视发射塔,0
81,3,590,避雷针,0
82,3,600,依比例尺的纪念碑,0
83,3,601,不依比例尺的纪念碑,0
84,3,602,依比例尺的碑或墩,0
85,3,603,不依比例尺的碑或墩,0
86,3,604,依比例尺塑像,0
87,3,605,不依比例尺的塑像,0
88,3,614,旗杆,0
89,3,616,依比例尺的亭,0
90,3,617,不依比例尺的亭,0
91,3,618,依比例尺的钟鼓楼,0
92,3,619,不依比例的钟鼓楼,0
93,3,620,依比例尺的旧碉堡,0
94,3,621,不依比例尺的旧碉堡,0
95,3,622,依比例尺的宝塔,0
96,3,623,不依比例尺的宝塔,0
97,3,624,烽火台,0
98,3,625,依比例尺的庙宇,0
99,3,626,不依比例尺的庙宇,0
100,3,627,依比例尺的土地庙,0
101,3,628,不依比例尺的土地庙,0
102,3,629,依比例尺的教堂,0
103,3,630,不依比例尺的教堂,0
104,3,740,地磅,0
105,3,761,窑,0
106,3,771,独立坟,0
107,3,772,散坟,1
108,3,773,坟群,0
109,4,110,一般铁路,0
110,4,111,左边型一般铁路,0
111,4,120,电气化铁路,1
112,4,121,左边型电气化铁路,0
113,4,130,窄轨铁路,1
114,4,131,左边型窄轨铁路,0
115,4,140,建筑中的铁路,1
116,4,141,左边型建筑中的铁路,0
117,4,150,轻便轨道,1
118,4,151,左边型轻便轨道,0
119,4,170,缆车轨道,0
120,4,310,单线型高速公路,1
121,4,311,左镜像型高速公路,0
122,4,312,中央镜像型高速公路,0
123,4,313,右镜像型高速公路,0
124,4,320,单线型等级公路,0
125,4,321,左镜像型等级公路,0
126,4,322,中央镜像型等级公路,0
127,4,323,右镜像型等级公路,0
128,4,330,单线型等外公路,0
129,4,331,左镜像型等外公路,0
130,4,332,中央镜像型等外公路,0
131,4,333,右镜像型等外公路,0
132,4,340,单线型建筑中的高速公路,0
133,4,341,左镜像型建筑中的高速公路,0
134,4,342,中央镜像型建筑中的高速公路,0
135,4,343,右镜像型建筑中的高速公路,0
136,4,350,单线型建筑中的等级公路,0
137,4,351,左镜像型建筑中的等级公路,0
138,4,352,中央镜像型建筑中的等级公路,0
139,4,353,右镜像型建筑中的等级公路,0
140,4,360,单线型建筑中的等外公路,0
141,4,361,左镜像型建筑中的等外公路,0
142,4,362,中央镜像型建筑中的等外公路,0
143,4,363,右镜像型建筑中的等外公路,0
144,4,410,大车路,1
145,4,411,左镜像型大车路,0
146,4,412,中央镜像型大车路,0
147,4,413,右镜像型大车路,0
148,4,421,左镜像型乡村路,0
149,4,422,中央镜像型乡村路,0
150,4,423,右镜像型乡村路,0
151,4,424,不依比例尺乡村路,0
152,4,430,小路,1
153,4,440,内部道路,0
154,4,511,依比例尺涵洞,0
155,4,561,里程碑,0
156,4,562,坡度表,0
157,4,563,路标,0
158,4,564,汽车停车站,0
159,4,570,挡土墙,0
160,4,641,依比例尺人行桥,0
161,4,642,不依比例尺人行桥,0
162,4,710,渡口,0
163,4,730,徒涉场,0
164,4,740,跳墩,0
165,4,761,顺岸式固定码头,0
166,4,762,堤坝式固定码头,0
167,4,770,浮码头,0
168,5,111,连线的输电线,1
169,5,112,不连线的输电线,0
170,5,114,电缆标,0
171,5,121,连线的配电线,1
172,5,122,不连线的配电线,0
173,5,130,电杆,0
174,5,151,依比例尺电线塔,0
175,5,152,不依比例尺电线塔,0
176,5,160,变压器,0
177,5,170,电线入地口,0
178,5,180,不依比例尺的变电室,0
179,5,210,连线的通信线,0
180,5,211,不连线的通信线,0
181,5,311,地面上的管道,0
182,5,312,地面下的管道,1
183,5,313,不依比例尺墩架的架空管道,0
184,5,314,有管堤的管道,0
185,5,321,上水检修井,0
186,5,322,水龙头,0
187,5,323,消火栓,0
188,5,441,下水检修井,0
189,5,442,下水暗井,0
190,5,443,圆形污水篦子,0
191,5,444,方形污水篦子,0
192,5,540,煤气及天然气检修井,0
193,5,620,热力检修井,0
194,5,810,阀门,0
195,5,820,不明用途检修井,0
196,6,110,常年河水涯线,0
197,6,111,常年河高水界,0
198,6,112,流向,1
199,6,122,时令河,0
200,6,131,消失河段,0
201,6,211,常年湖,0
202,6,221,时令湖,0
203,6,230,水库,0
204,6,240,池塘,1
205,6,250,单线沟渠,0
206,6,340,干沟,0
207,6,413,不依比例尺能走人的水闸,0
208,6,414,不依比例尺不能走人的水闸,0
209,6,420,滚水坝,0
210,6,430,拦水坝,0
211,6,460,土堤,0
212,6,461,垅,1
213,6,485,水井,0
214,6,530,泉,0
215,6,553,石质陡岸,0
216,7,220,自然保护区界,0
217,8,412,石质陡崖,0
218,8,511,未加固斜坡,0
219,8,512,已加固斜坡,0
220,8,513,定长的未加固斜坡,0
221,8,514,定长的加固斜坡,0
222,8,521,未加固陡坎,1
223,8,522,已加固陡坎,0
224,8,612,不依比例尺溶洞,0
225,8,621,依比例尺独立石,0
226,8,622,不依比例尺独立石,0
227,8,642,石垄,0
228,8,652,不依比例尺的土堆,0
229,8,661,依比例尺坑穴,0
230,8,662,不依比例尺坑穴,0
231,8,710,沙地,0
232,8,730,盐碱地,0
233,8,740,小草丘地,0
234,8,760,沼泽地,0
